A,B,C,D
Hg1+,I7+,Li1+,O2-
Ag3+,Ru4+,Li1+,O2-
Ag1+,Ru7+,Li1+,O2-
La3+,W4+,Li1+,O2-
Ce3+,W4+,Li1+,O2-
Pr3+,W4+,Li1+,O2-
Nd3+,W4+,Li1+,O2-
Sm3+,W4+,Li1+,O2-
Eu3+,W4+,Li1+,O2-
Gd3+,W4+,Li1+,O2-
Tb3+,W4+,Li1+,O2-
Dy3+,W4+,Li1+,O2-
Ho3+,W4+,Li1+,O2-
Er3+,W4+,Li1+,O2-
Tm3+,W4+,Li1+,O2-
Yb3+,W4+,Li1+,O2-
Lu3+,W4+,Li1+,O2-
Lu3+,Te4+,Li1+,O2-
Yb3+,Te4+,Li1+,O2-
Tm3+,Te4+,Li1+,O2-
Er3+,Te4+,Li1+,O2-
Ho3+,Te4+,Li1+,O2-
Dy3+,Te4+,Li1+,O2-
Tb3+,Te4+,Li1+,O2-
Gd3+,Te4+,Li1+,O2-
Eu3+,Te4+,Li1+,O2-
Sm3+,Te4+,Li1+,O2-
Nd3+,Te4+,Li1+,O2-
Pr3+,Te4+,Li1+,O2-
Ce3+,Te4+,Li1+,O2-
La3+,Te4+,Li1+,O2-
Ag3+,Rh4+,Li1+,O2-
